0,-1.60E-12,5.43E-10,9.87E-07,6.42E-07,1.49E-06
-4,1.91E-09,1.73E-06,5.62E-06,1.20E-05,1.97E-05
-8,4.84E-09,2.91E-06,9.50E-06,2.04E-05,3.04E-05
-12,6.13E-09,3.32E-06,1.21E-05,2.61E-05,3.97E-05
-16,7.05E-09,3.51E-06,1.33E-05,3.11E-05,4.86E-05
-20,7.77E-09,3.63E-06,1.43E-05,3.40E-05,5.60E-05
-24,7.80E-09,3.73E-06,1.47E-05,3.78E-05,6.19E-05
-28,7.80E-09,3.82E-06,1.53E-05,3.80E-05,6.61E-05
-32,7.84E-09,3.90E-06,1.55E-05,3.90E-05,6.93E-05
-36,8.27E-09,3.98E-06,1.56E-05,3.93E-05,7.14E-05
-40,7.63E-09,4.06E-06,1.54E-05,3.97E-05,7.27E-05
-44,7.89E-09,4.14E-06,1.52E-05,4.07E-05,7.43E-05
-48,8.15E-09,4.20E-06,1.52E-05,4.04E-05,7.49E-05
-52,8.54E-09,4.27E-06,1.53E-05,4.02E-05,7.56E-05
-56,8.84E-09,4.33E-06,1.50E-05,4.01E-05,7.53E-05
-60,8.82E-09,4.40E-06,1.51E-05,4.01E-05,7.57E-05
-60,8.26E-09,4.35E-06,1.51E-05,4.02E-05,7.58E-05
-56,7.40E-09,4.22E-06,1.52E-05,3.94E-05,7.57E-05
-52,7.13E-09,4.18E-06,1.50E-05,4.06E-05,7.59E-05
-48,7.17E-09,4.16E-06,1.51E-05,4.08E-05,7.54E-05
-44,6.22E-09,4.17E-06,1.45E-05,4.04E-05,7.48E-05
-40,5.79E-09,4.18E-06,1.45E-05,4.06E-05,7.33E-05
-36,5.56E-09,4.19E-06,1.46E-05,4.05E-05,7.15E-05
-32,5.10E-09,4.21E-06,1.46E-05,3.95E-05,6.82E-05
-28,4.80E-09,4.22E-06,1.49E-05,3.90E-05,6.38E-05
-24,4.82E-09,4.23E-06,1.50E-05,3.68E-05,5.84E-05
-20,4.74E-09,4.24E-06,1.51E-05,3.25E-05,5.15E-05
-16,4.79E-09,4.23E-06,1.41E-05,2.83E-05,4.34E-05
-12,4.50E-09,4.15E-06,1.20E-05,2.26E-05,3.45E-05
-8,3.76E-09,3.73E-06,8.85E-06,1.66E-05,2.47E-05
-4,2.34E-09,2.28E-06,5.13E-06,9.65E-06,1.48E-05
0,-2.05E-10,-1.27E-09,5.26E-07,8.72E-07,1.18E-06
